PreyClass,PreyOrder,PreyFamily,PreySP,habitat_combi,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,TrophicLevel,body_shape,max_fo
Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,mesopelagic,mesopelagic,oceanic,1,0,0,3.390000105,elongated,68.52
Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium regale,mesopelagic,mesopelagic,oceanic,0,0,0,3.2,elongated,1
Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium ritteri,mesopelagic,mesopelagic,oceanic,1,0,0,3.37,elongated,1.8
Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus kroyeri,mesopelagic,mesopelagic,oceanic,1,0,0,3.17,elongated,15.8
Actinopterygii,Myctophiformes,Myctophidae,Protomyctophum crockeri,mesopelagic,mesopelagic,oceanic,0,0,0,3.2,fusiform ,2.7
Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius leucopsarus,mesopelagic,mesopelagic,oceanic,1,0,0,3.1,fusiform ,7.6
Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania crenularis,mesopelagic,mesopelagic,oceanic,1,0,0,3.13,fusiform ,100
Actinopterygii,Myctophiformes,Myctophidae,Triphoturus mexicanus,mesopelagic,mesopelagic,oceanic,1,0,0,3.33,elongated,6.98
Actinopterygii,Ophidiiformes,Aphyonidae,Barathronus parfaiti,bathypelagic,bathypelagic,oceanic,UN,0,0,3.4,eel-like,1.85
Actinopterygii,Ophidiiformes,Ophdiidae,Chilara taylori,continental demersal,demersal,continental shelf,0,1,0,4.07,eel-like,0
Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,coastal epipelagic,epipelagic,coastal,UN,0,0,3.25,elongated,0
Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys ocellatus,continental demersal,demersal,continental shelf,0,1,1,3.51,elongated,0
Actinopterygii,Perciformes,Blenniidae,Blennius ocellaris,continental benthic,benthic,continental shelf,UN,1,1,3.49,elongated,5.56
Actinopterygii,Perciformes,Bramidae,Brama brama,oceanic epipelagic,epipelagic,oceanic,1,0,0,4.08,compressiform,0
Actinopterygii,Perciformes,Bramidae,Brama orcini,coastal epipelagic,epipelagic,coastal,1,0,0,3.9,compressiform,3
Actinopterygii,Perciformes,Bramidae,Pterycombus petersii,oceanic epipelagic,epipelagic,oceanic,UN,0,0,4.1,compressiform,4.7
Actinopterygii,Perciformes,Bramidae,Taractes asper,oceanic epipelagic,epipelagic,oceanic,UN,0,0,4.3,fusiform ,0
Actinopterygii,Perciformes,Caproidae,Antigonia capros,continental demersal,demersal,continental shelf,0,0,1,4.05,compressiform,3
Actinopterygii,Perciformes,Caproidae,Capros aper,continental demersal,demersal,continental shelf,UN,1,1,3.14,compressiform,14.28571429
Actinopterygii,Perciformes,Carangidae,Selene setapinnis,benthopelagic,benthopelagic,continental shelf,UN,0,1,3.72,compressiform,3
Actinopterygii,Perciformes,Carangidae,Trachinotus ovatus,coastal epipelagic,epipelagic,coastal,UN,0,1,3.73,fusiform ,1.85
