PreySP,max_fo,ave_fo,class,family
Histioteuthis bonnellii,63.2,25.9,Cephalopoda,Histioteuthidae
Histioteuthis heteropsis,1.5,0.9,Cephalopoda,Histioteuthidae
Histioteuthis reversa,28,14.56,Cephalopoda,Histioteuthidae
Hyaloteuthis pelagica,2.9,2.65,Cephalopoda,Ommastrephidae
Hyperia galba,5.71,2.91,Malacostraca,Hyperiidae
Icichthys lockingtoni,1,1,Actinopterygii,Centrolophidae
Idotea metallica,3.7,3.28,Malacostraca,Idoteidae
Illex argentinus,12,12,Cephalopoda,Ommastrephidae
Illex coindetii,10.3,3.58,Cephalopoda,Ommastrephidae
Janthina exigua,5.71,3.86,Gastropoda,Epitoniodea
Japetella diaphana,4,2.9,Cephalopoda,Amphitretidae
Japetella heathi,7,3.73,Cephalopoda,Amphitretidae
Katsuwonus pelamis,0.6,0.6,Actinopterygii,Scombridae
Lactoria diaphana,0.3,0.3,Actinopterygii,Ostaciidae
Lampanyctus alatus,5.56,5.56,Actinopterygii,Myctophidae
Lampanyctus crocodilus,48.57,35.1,Actinopterygii,Myctophidae
Lampanyctus intricarius,37.04,23.58,Actinopterygii,Myctophidae
Lampanyctus mexicanus,1,1,Actinopterygii,Myctophidae
Lanceola sayana,1.85,1.85,Malacostraca,Lanceolidae
Leptocotis tenuirostris,2.1,1.8,Malacostraca,Oxyccephalidae
Lestidiops ringens,4,4,Actinopterygii,Paralepididae
Lestidiops sphyrenoides,31.48,16.24,Actinopterygii,Paralepididae
Leuroglossus stilbius,0.4,0.4,Actinopterygii,Bathylagidae
Liocranchia reinhardti,1.85,1.85,Cephalopoda,Cranchiidae
Lobianchia gemellarii,4,4,Actinopterygii,Myctophidae
Lycoteuthis lorigera,12,12,Cephalopoda,Lycoteuthidae
Macroparalepis affinis,4,4,Actinopterygii,Paralepididae
Macroramphosus scolopax,30,30,Actinopterygii,Centriscidae
Magnisudis atlantica,6.5,3.83,Actinopterygii,Paralepididae
Mastigoteuthis dentata,22.5,7.73,Cephalopoda,Mastigoteuthidae
Maurolicus imperatorius,4.2,4.2,Actinopterygii,Sternoptychidae
Maurolicus muelleri,85.71,50.19,Actinopterygii,Sternoptychidae
Medialuna californiensis,1.16,1.16,Actinopterygii,Kyphosidae
Meganyctiphanes norvegica,89.7,41.19,Malacostraca,Euphausiidae
Melamphaes lugubris,5.9,2.33,Actinopterygii,Melamphaidae
Melanostomias valdiviae,0,0,Actinopterygii,Stomiidae
Merluccius productus,100,32.89,Actinopterygii,Merlucciidae
Microgadus proximus,9.5,4.73,Actinopterygii,Gadidae
Micromesistius poutassou,72.4,25.68,Actinopterygii,Gadidae
Microstomus pacificus,0,0,Actinopterygii,Pleutonectidae
Mugil cephalus,0,0,Actinopterygii,Mugilidae
Mullus barbatus barbatus,1.85,1.85,Actinopterygii,Percoidei
Myctophum punctatum,68.52,40.55,Actinopterygii,Myctophidae
Nannobrachium regale,1,1,Actinopterygii,Myctophidae
Nannobrachium ritteri,1.8,1,Actinopterygii,Myctophidae
Nealotus tripes,3,3,Actinopterygii,Gempylidae
Nematoscelis megalops,80,23.16,Malacostraca,Euphausiidae
Neognathophausia gigas,0.7,0.55,Malacostraca,Gnathophausiidae
Neognathophausia ingens,11.11,11.11,Malacostraca,Gnathophausiidae
Nesiarchus nasutus,3,3,Actinopterygii,Gempylidae
Notoscopelus kroyeri,15.8,3.28,Actinopterygii,Myctophidae
Nyctiphanes australis,27.9,20.55,Malacostraca,Euphausiidae
Octopoteuthis nielseni,0.33,0.33,Cephalopoda,Octopoteuthidae
Octopoteuthis sicula,32.7,12.56,Cephalopoda,Octopoteuthidae
Octopus bimaculatus,15.9,8.83,Cephalopoda,Octopodidae
Octopus vulgaris,16.67,9.34,Cephalopoda,Incirrata
Ocythoe tuberculata,17.2,6.03,Cephalopoda,Ocythoidae
Odontodactylus hansenii,0.3,0.3,Malacostraca,Odontodactylidae
Ommastrephes bartramii,5,3.8,Cephalopoda,Ommastrephidae
Omosudis lowii,16.7,8.1,Actinopterygii,Omusdidae
Onychoteuthis banksii,83.33,49.24,Cephalopoda,Onychoteuthidae
Onychoteuthis borealijaponica,58.5,20.03,Cephalopoda,Onychoteuthidae
Onykia robusta,6,4.77,Cephalopoda,Onychoteuthidae
Opisthoteuthis californiana,0.5,0.5,Cephalopoda,Opisthoteuthidae
Ornithoteuthis antillarum,12,12,Cephalopoda,Ommastrephidae
Ornithoteuthis volatilis,4.8,4.3,Cephalopoda,Ommastrephidae
Palinurus mauritanicus,8,5.45,Malacostraca,Palinuridae
Paralepis coregonoides,81.48148148,47.90762787,Actinopterygii,Paralepididae
Paralepis speciosa,0,0,Actinopterygii,Paralepididae
Parapasiphae sulcatifrons,4,3.85,Malacostraca,Pasiphaeidae
Parapronoe crustulum,1.5,1.5,Malacostraca,Eupronoidae
Peprilus simillimus,0.5,0.5,Actinopterygii,Stomateidae
Peristedion gracile,3,3,Actinopterygii,Peristediidae
Photonectes margarita,0,0,Actinopterygii,Stomiidae
Phrosina semilunata,65,28.96,Malacostraca,Phrosinidae
Platyscelus armatus,0,0,Malacostraca,Platyscelidae
Platyscelus ovoides,9.259259259,4.538800705,Malacostraca,Platyscelidae
Platyscelus serratulus,1.851851852,1.851851852,Malacostraca,Platyscelidae
Pleuroncodes planipes,27.75,8.3,Malacostraca,Munididae
Pleuronichthys decurrens,1,1,Actinopterygii,Pleuronectidae
Polybius henslowii,51.43,13.58,Malacostraca,Polybiidae
Primno macropa,2.857142857,2.857142857,Malacostraca,Phrosinidae
Protomyctophum crockeri,2.7,1.7,Actinopterygii,Myctophidae
Psenes pellucidus,3,3,Actinopterygii,Nomeidae
Pseudevadne tergestina,2.63,2.63,Branchiopoda,Podonidae
Pteroctopus tetracirrhus,24,24,Cephalopoda,Octopodidae
Pterycombus petersii,4.7,3.55,Actinopterygii,Bramidae
Pterygioteuthis giardi,1.63,1.63,Cephalopoda,Pyroteuthidae
