OceanBasinQ,StudyID,YearSample,YearEnd, LocatLatitude,LocatLongitude,PreyClass,PreyOrder,PreyFamily,PreySP,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,body_shape,MAX of pFOuse
Mediterranean,Salman&Karakulak2009,2007,2007,32.247652,31.113281,Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis giardi,mesopelagic,oceanic,1,0,0,fusiform ,1.63
Mediterranean,Salman&Karakulak2009,2007,2007,32.247652,31.113281,Cephalopoda,Oegopsida,Pyroteuthidae,Pyroteuthis margaritifera,mesopelagic,oceanic,1,0,0,fusiform ,1.63
Mediterranean,Salman&Karakulak2009,2007,2007,32.247652,31.113281,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,continental slope,1,0,0,globiform,49.10
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,mesopelagic,oceanic,1,0,0,elongated,8.25
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,mesopelagic,oceanic,0,0,0,elongated,8.25
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,oceanic,0,0,0,elongated,8.25
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,1,0,0,elongated,16.00
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Perciformes,Nomeidae,Cubiceps gracilis,epipelagic,oceanic,UN,0,0,fusiform ,10.00
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,1,0,0,elongated,16.00
NE Atlantic,Aloncle1973,1968–71,1971,44.632016,353.494034,Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,demersal,continental shelf,1,1,1,elongated,30.00
NE Atlantic,Bouxin&Legendre,1928,1928,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,mesopelagic,oceanic,1,0,1,compressiform,100.00
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,mesopelagic,oceanic,0,0,0,elongated,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,oceanic,0,0,0,elongated,33.33
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,1,0,0,elongated,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,epipelagic,coastal,1,0,0,elongated,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,epipelagic,coastal,1,0,1,fusiform ,33.33
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,1,0,0,elongated,50.00
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,oceanic,0,0,0,compressiform,33.33
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,mesopelagic,oceanic,1,0,0,fusiform ,33.33
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Octopoda,Incirrata,Octopus vulgaris,benthic,reef-associated,1,1,0,globiform,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,bathypelagic,oceanic,1,0,0,fusiform ,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,mesopelagic,oceanic,1,0,0,fusiform ,16.67
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,continental shelf,1,0,0,fusiform ,33.33
NE Atlantic,Bouxin&Legendre,1929,1929,61.010401,-11.680527,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,epipelagic,oceanic,1,0,0,fusiform ,66.67
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,oceanic,0,0,0,elongated,66.67
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,1,0,0,elongated,22.22
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,epipelagic,coastal,1,0,1,fusiform ,11.11
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Perciformes,Sparidae,Boops boops,demersal,continental shelf,1,1,1,fusiform ,11.11
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,demersal,continental shelf,0,1,0,fusiform ,11.11
