OceanBasinQ,PreySP,,,
NE Pacific,Bathophilus flemingi,,1,
NE Pacific,Bathyagonus pentacanthus,,1,
NE Pacific,Bathylagoides wesethi,,1,
NE Pacific,Berryteuthis anonychus,,1,
NE Pacific,Brachyscelus crusculum,,1,
NE Pacific,Brachyscelus macrocephalus,,1,
NE Pacific,Brama brama,,1,
NE Pacific,Brama orcini,,1,
NE Pacific,Carinaria lamarckii,,1,
NE Pacific,Ceratoscopelus townsendi,,1,
NE Pacific,Ceratoscopelus warmingii,,1,
NE Pacific,Chiasmodon niger,,1,
NE Pacific,Chilara taylori,,1,
NE Pacific,Chromis punctipinnis,,1,
NE Pacific,Citharichthys sordidus,,1,
NE Pacific,Clupea pallasii pallasii,,1,
NE Pacific,Cololabis saira,,1,
NE Pacific,Coryphaena hippurus,,1,
NE Pacific,Cranchia scarbra,,1,
NE Pacific,Cubiceps gracilis,,1,
NE Pacific,Cymatogaster aggregata,,1,
NE Pacific,Desmodema polystictum,,1,
NE Pacific,Diaphus theta,,1,
NE Pacific,Doryteuthis opalescens,,1,
NE Pacific,Dosidicus gigas,,1,
NE Pacific,Echinosquilla guerinii,,1,
NE Pacific,Engraulis japonicus,,1,
NE Pacific,Engraulis mordax,,1,
NE Pacific,Eucleoteuthis luminosa,,1,
NE Pacific,Euphausia pacifica,,1,
NE Pacific,Eusergestes similis,,1,
NE Pacific,Galiteuthis phyllura,,1,
NE Pacific,Gempylus serpens,,1,
NE Pacific,Glyptocephalus zachirus,,1,
NE Pacific,Gonatopsis borealis,,1,
NE Pacific,Gonatus berryi,,1,
NE Pacific,Gonatus californiensis,,1,
NE Pacific,Gonatus onyx,,1,
NE Pacific,Gonatus pyros,,1,
NE Pacific,Gonatus steenstrupi,,1,
NE Pacific,Halichoeres nicholsi,,1,
NE Pacific,Histioteuthis heteropsis,,1,
NE Pacific,Icichthys lockingtoni,,1,
NE Pacific,Japetella heathi,,1,
NE Pacific,Katsuwonus pelamis,,1,
NE Pacific,Lactoria diaphana,,1,
NE Pacific,Lampanyctus mexicanus,,1,
NE Pacific,Leptocotis tenuirostris,,1,
NE Pacific,Lestidiops ringens,,1,
NE Pacific,Leuroglossus stilbius,,1,
NE Pacific,Macroramphosus scolopax,,1,
NE Pacific,Magnisudis atlantica,,1,
NE Pacific,Mastigoteuthis dentata,,1,
NE Pacific,Maurolicus imperatorius,,1,
NE Pacific,Medialuna californiensis,,1,
NE Pacific,Melamphaes lugubris,,1,
NE Pacific,Melanostomias valdiviae,,1,
NE Pacific,Merluccius productus,,1,
NE Pacific,Microgadus proximus,,1,
NE Pacific,Microstomus pacificus,,1,
NE Pacific,Mugil cephalus,,1,
NE Pacific,Nannobrachium regale,,1,
NE Pacific,Nannobrachium ritteri,,1,
NE Pacific,Neognathophausia gigas,,1,
NE Pacific,Octopoteuthis nielseni,,1,
NE Pacific,Octopoteuthis sicula,,1,
NE Pacific,Octopus bimaculatus,,1,
NE Pacific,Ocythoe tuberculata,,1,
NE Pacific,Odontodactylus hansenii,,1,
NE Pacific,Ommastrephes bartramii,,1,
NE Pacific,Onychoteuthis banksii,,1,
NE Pacific,Onychoteuthis borealijaponica,,1,
NE Pacific,Onykia robusta,,1,
NE Pacific,Opisthoteuthis californiana,,1,
NE Pacific,Parapronoe crustulum,,1,
NE Pacific,Peprilus simillimus,,1,
NE Pacific,Photonectes margarita,,1,
NE Pacific,Phrosina semilunata,,1,
NE Pacific,Platyscelus armatus,,1,
NE Pacific,Platyscelus ovoides,,1,
NE Pacific,Pleuroncodes planipes,,1,
NE Pacific,Pleuronichthys decurrens,,1,
NE Pacific,Protomyctophum crockeri,,1,
NE Pacific,Pterygioteuthis microlampas,,1,
NE Pacific,Rhinogobiops nicholsii,,1,
NE Pacific,Sardinops sagax,,1,
NE Pacific,Scomber japonicus,,1,
NE Pacific,Scopelogadus mizolepis bispinosus,,1,
NE Pacific,Sebastes aleutianus,,1,
NE Pacific,Sebastes brevispinis,,1,
NE Pacific,Sebastes diploproa,,1,
NE Pacific,Sebastes helvomaculatus,,1,
NE Pacific,Sebastes maliger,,1,
NE Pacific,Sebastes miniatus,,1,
NE Pacific,Sebastes proriger,,1,
NE Pacific,Sebastes wilsoni,,1,
NE Pacific,Sebastes zacentrus,,1,
NE Pacific,Stenobrachius leucopsarus,,1,
NE Pacific,Sternoptyx diaphana,,1,
NE Pacific,Sternoptyx obscura,,1,
NE Pacific,Sthenoteuthis oualaniensis,,1,
NE Pacific,Strongylura exilis,,1,
NE Pacific,Syngnathus californiensis,,1,
NE Pacific,Taractes asper,,1,
NE Pacific,Tarletonbeania crenularis,,1,
NE Pacific,Tetragonurus cuvieri,,1,
NE Pacific,Thaleichthys pacificus,,1,
NE Pacific,Todarodes pacificus,,1,
NE Pacific,Trachipterus trachypterus,,1,
NE Pacific,Trachurus japonicus,,1,
